frame_no,timestamp_s,brightness_mean,brightness_max,brightness_min,edge_density,hf_ratio_self,hf_ratio_vs_prev,color_saturation,frame_diff_mean,frame_diff_max,blackout_flag,whiteout_flag,micro_event,event_confidence,event_notes
48,256.5667,45.97,252.0,0.0,0.0153,0.0034,0.0,22.79,5.632,148.3,False,False,NONE,0.0,
49,256.6,45.54,249.33333333333334,0.0,0.0154,0.0033,0.0,23.24,6.021,168.0,False,False,NONE,0.0,
50,256.6333,45.21,252.0,0.0,0.016,0.0033,0.0,23.38,6.065,177.7,False,False,NONE,0.0,
51,256.6667,44.93,252.0,0.0,0.016,0.0033,0.0,23.65,6.149,165.7,False,False,NONE,0.0,
52,256.7,47.65,253.66666666666666,0.0,0.0173,0.0032,0.0,22.44,7.326,157.3,False,False,NONE,0.0,
53,256.7333,48.94,255.0,0.0,0.0173,0.0032,0.0,22.18,7.149,159.3,False,False,NONE,0.0,
54,256.7667,49.73,255.0,0.0,0.0186,0.0032,0.0,21.83,7.133,156.3,False,False,NONE,0.0,
55,256.8,61.89,253.33333333333334,0.0,0.0148,0.0035,0.0,17.08,13.992,178.0,False,False,NONE,0.0,
56,256.8333,62.63,254.66666666666666,0.0,0.0149,0.0035,0.0,17.04,5.888,212.0,False,False,NONE,0.0,
57,256.8667,64.54,254.66666666666666,0.0,0.0167,0.0033,0.0,16.23,7.206,163.3,False,False,NONE,0.0,
58,256.9,68.67,254.66666666666666,0.0,0.0179,0.0033,0.0,15.47,8.38,175.0,False,False,NONE,0.0,
59,256.9333,70.34,254.66666666666666,0.0,0.0203,0.0032,0.0,14.91,7.903,164.0,False,False,NONE,0.0,
60,256.9667,71.57,255.0,0.0,0.0199,0.0032,0.0,14.93,7.885,215.3,False,False,NONE,0.0,
