file_name,agency,release_date,incident_date,incident_location,file_type,page_count,ocr_success_rate,review_required_count,japan_related,japan_keywords,japan_signal_source,location_conflict,location_conflict_reason,candidate_score,recommended_lane,reasons,notes
dow-uap-d19-mission-report-syria-february-21-2023.pdf,Department of War,5/8/26,2/21/23,Syria,PDF,10,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 10p: short document(+5) | recent incident (2023)(+15),
dow-uap-d20-mission-report-southern-united-states-2023.pdf,Department of War,5/8/26,3/31/23,Iraq,PDF,6,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 6p: short document(+5) | recent incident (2023)(+15),
dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf,Department of War,5/8/26,10/31/23,Arabian Gulf,PDF,9,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 9p: short document(+5) | recent incident (2023)(+15),
dow-uap-d23-mission-report-united-arab-emirates-october-2023.pdf,Department of War,5/8/26,10/31/23,Arabian Gulf,PDF,9,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 9p: short document(+5) | recent incident (2023)(+15),
dow-uap-d25-mission-report-greece-january-2024.pdf,Department of War,5/8/26,1/25/24,Mediterranean Sea,PDF,7,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 7p: short document(+5) | recent incident (2024)(+15),
dow-uap-d27-mission-report-united-arab-emirates-october-2023.pdf,Department of War,5/8/26,6/7/24,Gulf of Oman,PDF,8,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 8p: short document(+5) | recent incident (2023)(+15),
dow-uap-d28-mission-report-east-china-sea-2024.pdf,Department of War,5/8/26,9/20/24,Iraq,PDF,6,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 6p: short document(+5) | recent incident (2024)(+15),
dow-uap-d3-mission-report-arabian-gulf-2020.pdf,Department of War,5/8/26,N/A,N/A,PDF,7,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 7p: short document(+5) | recent incident (2020)(+15),
"dow-uap-d32-mission-report,-syria-october-2024.pdf",Department of War,5/8/26,10/20/24,Syria,PDF,10,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 10p: short document(+5) | recent incident (2024)(+15),
"dow-uap-d32-mission-report,-syria-october-2024.pdf",Department of War,5/8/26,10/20/24,Syria,PDF,10,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 10p: short document(+5) | recent incident (2024)(+15),
"dow-uap-d32-mission-report,-syria-october-2024.pdf",Department of War,5/8/26,10/20/24,Syria,PDF,10,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 10p: short document(+5) | recent incident (2024)(+15),
dow-uap-d33-mission-report-greece-october-2023.pdf,Department of War,5/8/26,10/27/23,Aegean Sea,PDF,7,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 7p: short document(+5) | recent incident (2023)(+15),
dow-uap-d35-mission-report-greece-october-2023.pdf,Department of War,5/8/26,10/29/23,Aegean Sea,PDF,7,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 7p: short document(+5) | recent incident (2023)(+15),
dow-uap-d5-mission-report-arabian-gulf-2020.pdf,Department of War,5/8/26,N/A,Mediterranean Sea,PDF,6,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 6p: short document(+5) | recent incident (2020)(+15),
dow-uap-d55-mission-report-syria-november-2016.pdf,Department of War,5/8/26,11/18/16,Syria,PDF,1,,0,false,,,false,,35,detailed,"agency=Department of War(+5) | specific mission report(+10) | 1p: very short, quick to process(+10) | modern incident (2016)(+10)",
dow-uap-d60-mission-report-persian-gulf-august-2020.pdf,Department of War,5/8/26,8/8/20,Arabian Gulf,PDF,6,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 6p: short document(+5) | recent incident (2020)(+15),
dow-uap-d61-mission-report-persian-gulf-august-2020.pdf,Department of War,5/8/26,8/27/20,Arabian Gulf,PDF,7,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 7p: short document(+5) | recent incident (2020)(+15),
dow-uap-d62-mission-report-strait-of-hormuz-september-2020.pdf,Department of War,5/8/26,9/16/20,Strait of Hormuz,PDF,9,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 9p: short document(+5) | recent incident (2020)(+15),
dow-uap-d63-mission-report-strait-of-hormuz-october-2020.pdf,Department of War,5/8/26,10/1/20,Strait of Hormuz,PDF,8,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 8p: short document(+5) | recent incident (2020)(+15),
dow-uap-d64-mission-report-iran-november-2020.pdf,Department of War,5/8/26,11/2/20,Iran,PDF,7,,0,false,,,false,,35,detailed,agency=Department of War(+5) | specific mission report(+10) | 7p: short document(+5) | recent incident (2020)(+15),
