file_name,agency,release_date,incident_date,incident_location,file_type,source_url,download_url,dvids_video_id,downloaded,downloaded_at,first_downloaded_at,last_verified_at,notes,content_category,media_available,ocr_status,article_priority,reader_interest,risk_level,note_series,download_scope,human_review_required
331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,Department of War,5/8/26,3/18/45,Germany,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf,Department of War,5/8/26,11/8/48,Netherlands,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
341_110677_numerical_file_5-2500.pdf,Department of War,5/8/26,10/14/55,Azerbaijan,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/341_110677_numerical_file_5-2500.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,Department of War,5/8/26,1/9/50,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
38_143685_box7_incident_summaries_101-172.pdf,Department of War,5/8/26,N/A,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_101-172.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
38_143685_box7_incident_summaries_173-233.pdf,Department of War,5/8/26,N/A,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_173-233.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
38_143685_box7_incident_summaries_1-100.pdf,Department of War,5/8/26,N/A,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_1-100.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
59_214434_sp_16_[7.18.1963].pdf,Department of State,5/8/26,7/18/63,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/59_214434_sp_16_[7.18.1963].pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
59_64634_711.5612[7-2852.pdf,Department of State,5/8/26,7/28/52,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/59_64634_711.5612[7-2852.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
65_hs1-101634279_100-de-18221_serial_844.pdf,FBI,5/8/26,4/17/58,"Detroit, MI",PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/65_hs1-101634279_100-de-18221_serial_844.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
65_hs1-101634279_100-de-26505.pdf,FBI,5/8/26,11/7/57,Germany,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/65_hs1-101634279_100-de-26505.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
65_hs1-834228961_62-hq-83894_section_1.pdf,FBI,5/8/26,N/A,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_1.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
65_hs1-834228961_62-hq-83894_section_2.pdf,FBI,5/8/26,N/A,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_2.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
65_hs1-834228961_62-hq-83894_section_3.pdf,FBI,5/8/26,N/A,N/A,PDF,https://www.war.gov/UFO/,https://www.war.gov/medialink/ufo/release_1/65_hs1-834228961_62-hq-83894_section_3.pdf,,true,2026-06-18 22:08:43 JST,2026-06-14 21:36:18 JST,2026-06-18 22:08:43 JST,,unclassified,pdf,unknown,unreviewed,unreviewed,unreviewed,unassigned,candidate,true
